Date,Transect,Width,Width_unit,Habitat_type,Quadrat,Count,Depth,Depth_unit,Velocity,Velocity_unit,BR,BO,CO,PE,GV,SD,SL,Algae,Absence,Time,Time_unit,Comments
6/27/2021,1,5,m,riffle,1,6,3.5,cm,0.2,m/s,0,0,0,25,0,0,0,0,25,24,minutes,
6/27/2021,1,5,m,riffle,2,4,3,cm,0.07,m/s,0,0,0,25,0,0,0,0,25,24,minutes,
6/27/2021,1,5,m,riffle,3,11,2.5,cm,0.02,m/s,0,0,0,17,0,0,8,0,25,24,minutes,
6/27/2021,2,3.2,m,run,1,0,5,cm,0.02,m/s,0,0,1,0,0,0,24,0,25,12.5,minutes,
6/27/2021,2,3.2,m,run,2,1,7,cm,0.05,m/s,0,0,0,4,0,0,21,0,25,12.5,minutes,
6/27/2021,2,3.2,m,run,3,3,14.5,cm,0.06,m/s,0,0,0,0,0,0,25,0,25,12.5,minutes,
6/27/2021,3,3.8,m,run,1,1,7,cm,0.01,m/s,0,0,0,21,0,0,4,0,25,15,minutes,
6/27/2021,3,3.8,m,run,2,4,14,cm,0.11,m/s,0,0,0,18,0,7,0,0,25,15,minutes,
6/27/2021,3,3.8,m,run,3,0,21,cm,0.01,m/s,0,0,0,0,0,0,25,0,25,15,minutes,
6/27/2021,4,4.2,m,run,1,4,9,cm,0.02,m/s,0,0,0,8,0,1,16,0,25,25,minutes,
6/27/2021,4,4.2,m,run,2,6,12.5,cm,0.06,m/s,0,0,10,15,0,0,0,0,25,25,minutes,
6/27/2021,4,4.2,m,run,3,22,5,cm,0,m/s,0,0,12,7,0,0,6,0,25,25,minutes,
6/27/2021,5,3.2,m,riffle,1,1,18.5,cm,0.02,m/s,2,5,4,6,0,8,0,0,25,18,minutes,
6/27/2021,5,3.2,m,riffle,2,5,9,cm,0.08,m/s,0,6,14,5,0,0,0,0,25,18,minutes,
6/27/2021,5,3.2,m,riffle,3,11,7,cm,0.23,m/s,0,0,20,5,0,0,0,0,25,18,minutes,
6/27/2021,6,2.4,m,riffle,1,2,8.5,cm,0.12,m/s,24,0,0,1,0,0,0,0,25,9,minutes,
6/27/2021,6,2.4,m,riffle,2,1,7.1,cm,0.09,m/s,9,0,10,5,0,1,0,0,25,9,minutes,
6/27/2021,6,2.4,m,riffle,3,0,10.5,cm,0,m/s,4,0,9,5,0,7,0,0,25,9,minutes,
6/27/2021,7,2.8,m,run,1,6,10.4,cm,0.1,m/s,18,0,4,1,0,2,0,0,25,14,minutes,
6/27/2021,7,2.8,m,run,2,4,7,cm,0.03,m/s,0,0,8,11,0,6,0,0,25,14,minutes,
6/27/2021,7,2.8,m,run,3,0,4,cm,0.05,m/s,0,0,10,10,0,5,0,0,25,14,minutes,
6/27/2021,8,2.2,m,run,1,3,6.5,cm,0.23,m/s,20,0,2,2,0,1,0,1,24,10,minutes,
6/27/2021,8,2.2,m,run,2,3,9.7,cm,0.06,m/s,0,0,12,12,0,1,0,0,25,10,minutes,
6/27/2021,8,2.2,m,run,3,7,7.8,cm,0.09,m/s,0,0,16,3,0,0,6,0,25,10,minutes,
6/28/2021,9,2.6,m,riffle,1,6,8,cm,0.04,m/s,11,0,6,7,1,0,0,0,25,14,minutes,
6/28/2021,9,2.6,m,riffle,2,3,9,cm,0.15,m/s,0,0,17,6,2,0,0,0,25,14,minutes,
6/28/2021,9,2.6,m,riffle,3,9,4,cm,0.31,m/s,0,0,8,6,6,5,0,0,25,14,minutes,
6/28/2021,10,2.3,m,riffle,1,32,7,cm,0.04,m/s,25,0,0,0,0,0,0,0,25,8.3,minutes,
6/28/2021,10,2.3,m,riffle,2,14,12.5,cm,0.01,m/s,24,0,0,0,0,1,0,0,25,8.3,minutes,
6/28/2021,10,2.3,m,riffle,3,2,6,cm,0.01,m/s,0,0,0,0,0,25,0,0,25,8.3,minutes,
6/28/2021,11,2.1,m,run,1,72,10,cm,0.01,m/s,25,0,0,0,0,0,0,2,23,12,minutes,
6/28/2021,11,2.1,m,run,2,19,11,cm,0.04,m/s,25,0,0,0,0,0,0,0,25,12,minutes,
6/28/2021,11,2.1,m,run,3,13,10,cm,0.1,m/s,0,0,11,0,0,14,0,0,25,12,minutes,
6/28/2021,12,2.3,m,run,1,4,16,cm,0.04,m/s,0,1,14,7,0,3,0,0,25,7,minutes,
6/28/2021,12,2.3,m,run,2,2,15,cm,0.03,m/s,0,0,17,4,4,0,0,0,25,7,minutes,
6/28/2021,12,2.3,m,run,3,3,14,cm,0.01,m/s,0,0,13,8,0,4,0,0,25,7,minutes,
6/28/2021,13,1.8,m,riffle,1,10,6,cm,0.02,m/s,0,0,10,0,0,15,0,0,25,14.5,minutes,
6/28/2021,13,1.8,m,riffle,2,9,16,cm,0.02,m/s,0,0,23,0,0,2,0,0,25,14.5,minutes,
6/28/2021,13,1.8,m,riffle,3,24,5,cm,0.16,m/s,4,18,0,3,0,0,0,4,21,14.5,minutes,
6/28/2021,14,1.9,m,run,1,22,7,cm,0.01,m/s,25,0,0,0,0,0,0,9,16,7,minutes,
6/28/2021,14,1.9,m,run,2,14,10,cm,0.12,m/s,25,0,0,0,0,0,0,0,25,7,minutes,
6/28/2021,14,1.9,m,run,3,4,8,cm,0.09,m/s,6,0,6,0,0,13,0,0,25,7,minutes,
6/28/2021,15,2.5,m,pool,1,0,7,cm,0.02,m/s,0,0,0,0,0,25,0,0,25,12,minutes,
6/28/2021,15,2.5,m,pool,2,16,15,cm,0.05,m/s,0,0,0,1,0,24,0,0,25,12,minutes,
6/28/2021,15,2.5,m,pool,3,0,14,cm,0,m/s,0,0,9,6,0,0,10,0,25,12,minutes,
7/1/2021,16,2.9,m,pool,1,1,17,cm,0.01,m/s,25,0,0,0,0,0,0,2,23,11,minutes,covered w/silt
7/1/2021,16,2.9,m,pool,2,2,20,cm,0.01,m/s,11,0,0,10,0,0,4,0,25,11,minutes,
7/1/2021,16,2.9,m,pool,3,4,12,cm,0.02,m/s,0,0,0,0,0,2,23,0,25,11,minutes,
7/1/2021,17,4.3,m,pool,1,0,27,cm,0.01,m/s,0,10,0,0,0,0,15,0,25,11,minutes,
7/1/2021,17,4.3,m,pool,2,14,9,cm,0.01,m/s,16,0,0,0,0,8,1,1,24,11,minutes,
7/1/2021,17,4.3,m,pool,3,0,25,cm,0.01,m/s,0,0,0,22,0,3,0,0,25,11,minutes,
7/1/2021,18,2.3,m,run,1,8,7,cm,0,m/s,0,0,0,1,0,4,20,0,25,23,minutes,
7/1/2021,18,2.3,m,run,2,16,10,cm,0.05,m/s,2,0,0,4,11,8,0,0,25,23,minutes,
7/1/2021,18,2.3,m,run,3,28,8,cm,0.03,m/s,0,0,1,1,0,1,23,0,25,23,minutes,
7/1/2021,19,1.8,m,riffle,1,1,5,cm,0.01,m/s,0,0,0,5,0,0,20,0,25,16,minutes,
7/1/2021,19,1.8,m,riffle,2,3,10,cm,0.08,m/s,8,0,0,11,0,1,5,0,25,16,minutes,
7/1/2021,19,1.8,m,riffle,3,14,5,cm,0.04,m/s,0,0,0,0,0,3,22,0,25,16,minutes,
7/1/2021,20,1.9,m,riffle,1,18,2,cm,0.06,m/s,0,0,0,22,3,0,0,0,25,14,minutes,
7/1/2021,20,1.9,m,riffle,2,13,5,cm,0.04,m/s,4,0,0,10,0,11,0,0,25,14,minutes,
7/1/2021,20,1.9,m,riffle,3,9,8,cm,0.74,m/s,25,0,0,0,0,0,0,9,16,14,minutes,
